id,name,sba_in_title,sba_status,total_inquiries,status
5025,18-Year-old Catholic Products Website with 32% Sales Growth YOY,False,unknown,331,sold
6875,Efficient Online Jewelry Business | 20 Year Track Record | No Experience Necessary | Low Multiple,False,no,603,active
7499,High Margin Online Courses with Recurring Revenue | 66% Trial Conversion | $200 LTV,False,no,295,lost
7559,"Seller Financing, Content / eCommerce Business, Home Improvement Vertical, Strong YOY Growth",False,no,382,lost
9666,SBA Shopify Christian Products Brand | 53% Repeat Order Rate | $20M+ Lifetime Sales | High Margins,True,yes,321,lost
11587,Amazon FBA Brand - Patented Products in Maternity and Wellness Niche with Growing YOY SDE,False,unknown,297,sold
12034,Passive 13-Yr-Old B2B SaaS Business with 27% YoY Growth,False,no,296,sold
13061,7-Year-Old Shopify Watch Accessory Brand | 33K Emails | $89K SDE,False,no,317,sold
13990,SBA Prequalified | 7 Year-Old Blue-Collar Workwear Brand w/38% Net Margins | Growth Opportunities,True,yes,574,sold
15012,Amazon FBA Water Bottle Accessories Business w/4 Design Patents | Wholesale Opportunities,False,no,295,lost
15413,"Seller Financing Available: Solar & Renewable Energy, +17.1% YoY Earnings, Massive Industry Tailwind",True,no,433,lost
16271,7-Year-Old Stripe Connect Membership Platform SaaS | Massive Market | Robust App Ready to Grow,False,no,365,lost
16471,SAAS Bookkeeping with 88% Organic Traffic | 178% SDE Growth | New Revenue Stream Online Soon,False,unknown,314,sold
16522,"Top-Rated Productivity SaaS with $40K MRR, 10K Customers and Low Churn",False,no,348,sold
16878,Dropship Shopify Health Business | $1M+ Revenue | 35% SDE TTM Growth | U.S. Based Suppliers,False,no,667,sold
16914,Shopify Custom Products Business | US Manufacturing | Shark Tank Featured,False,no,854,sold
17312,"SaaS Biz, Senior Well-Being Niche - Passive - Growth Potential - YoY TTM Rev & SDE growth 19% & 21%",False,no,292,sold
17516,5 yr Old Pool Access. Biz | 95% Amazon FBA | YOY Revenue +102% | COGS Decrease,False,no,456,sold
17542,"7 Year Old Arts And Crafts Subscription Business With 44 Courses and 2,500+ Paid Subscribers",False,no,475,sold
17700,SBA-Eligible: Leading Amazon FBA Outdoor & Survival Brand w/ Triple Digit Growth,True,yes,300,sold
17818,SBA Pre-Qualified SAAS Business | 95% Client Retention | Growing 69% YOY | Amazing Growth Potential,True,yes,388,sold
17904,Highly Profitable Content Site - Health & Fitness Niche - 1.25X Multiple - Not distressed,False,no,602,active
17923,"Shopify Private Label Brand - Industry Leader Arts/Crafts - 900K Emails, 344K Unique Vis/Mth - 1.75X",False,no,639,lost
17938,Distressed Listing: Health Supplement with Massive Sales Selling at 1x Multiple,False,no,304,sold
18001,"2 Year Old, Highly Profitable Content Site -  Home & Kitchen Niche - Over 100K Unique Visitors/mth",False,no,369,active
18011,Sustainable Shopify Kitchen & Dining | 84% Gross Margins | $1M+ TTM Revenue | 825K+ Followers,False,no,383,lost
18025,"Fast-growth Shopify Brand, Popular Wellness Category - $1.14MM SDE - Large Growth Opportunity, 2.85X",False,no,305,active
18078,6 Year-Old Subscription-Based Business With Low Workload and Strong Margins,False,unknown,415,sold
18096,10-Year-Old Grilling Amazon Business | 19% Revenue Growth | Wholesale Relationship | Low Workload,False,no,370,sold
18099,Easy to Operate 3-SKU FBA Business with Untapped Potential,False,unknown,453,sold
18107,SBA Pre-Qualified Virtual Team Building Business | $526k of SDE on $660k in Revenue | 2.1x Multiple,True,yes,304,sold
18124,SBA Pre-Qualified E-Com Biz | $1m+ Rev on $0 Ad Spend | Opps to Modernize 25 Year Old Biz,True,yes,519,sold
18318,20+ Year Old Online Courses Portfolio (Recurring Revenue & Best Domain Name),False,no,276,sold
18320,Dropship Shopify Site - Distressed with Immediate Upside - 1X Multiple - Womens' Clothing & Access.,False,no,775,lost
18370,Amazon FBA Business |105% YOY |Patent Approval on Track |Primarily Fitness Market |Strong Up-Side,False,partial,329,sold
18449,5-Year-Old eCommerce Brand | Untapped Sales Channels | $378k SDE,False,unknown,379,lost
18546,"7-Yr-Old Amazon FBA Home & Kitchen Business - Strong YoY Growth and 12,000+ 4.5 Star Reviews",False,no,363,sold
18638,10-Year-Old Passive Evergreen Course Business | $149k SDE | Massive Opportunities for Growth,False,no,628,lost
18639,"Fast Growing Dropship Wellness Brand w/ Passive Income, Low Overhead, and Turn-Key Model",False,no,307,lost
18699,Fast-Growing Amazon FBA Business with 3 SKU's + Built-In Growth,False,no,352,sold
18710,"Seasoned eCommerce Dropship Sites, 19 Years in Home Furnishings",False,no,499,lost
19050,Blissbury: Premium Sleep-Support FBA Brand | 50%+ Growth | 10K+ Reviews | 76% Gross Margins,False,no,346,active
19095,Low Priced Amazon Electronic Accessories | 2.2x multiple | $260k+ SDE,False,no,302,lost
19120,SBA Pre-Qualified Health & Fitness Content Site | 100%+ Rev and SDE Growth | 2.5M+ TTM Page Views,True,yes,738,active
19170,SBA Pre Qualified - 8-Year-Old Women’s Boutique - $670K SDE w/ Only $55k Ad Spend,True,yes,489,sold
19223,"Amazon FBA Supplements | 12% YOY SDE Growth | Ph.D. Formulated Unique Products | 1,000+ Reviews",False,no,457,lost
19224,SBA Pre-Qualified 19-Year-Old Automotive Parts Brand | Diversified Revenue | 5% YoY SDE Growth,True,yes,543,sold
19258,"Established Bicycle Manufacturer with 45.8% Growth, Repeat Revenue, & Celebrated Brand",False,yes,404,lost
19332,Passive Amazon FBA Goal Planner Business | 12% TTM Revenue Growth with Little Work and No Ad Spend,False,no,284,sold
19374,Content Site in Mobile Gaming Niche | 7.8m Sessions & 3.3m Users in Past Year | Low Multiple,False,no,416,sold
19396,16 Year-Old Dropship Site w/ Significant Organic Sales | 47% YOY Sales Growth & 58% YOY SDE Growth,False,no,402,sold
19437,Low Priced Amazon FBA Business | 328% TTM SDE Growth | 2x Multiple | Passive,False,no,599,sold
19678,"SBA PreQualified 5-Year-Old FBA Business with over 10,000 4.4-Star Avg Reviews",True,no,314,active
19796,"Athletic Massage Guns: 92.1% AVG Growth, Celebrated Brand, High 27% Net Profits",False,unknown,418,sold
19838,20+ Year Old Supplement Business | $2.9M+ SDE | 100% Amazon Rating,False,unknown,844,active
19841,Motivated to Sell | 1.95x Multiple | High TTM Rev/SDE Growth | Amazon FBA Bags | 80%+ Gross Margins,False,no,354,sold
19845,SBA Pre-Qualified: B2B SaaS w/ 17.8% Earnings Growth and 12 Yr History,True,yes,405,sold
19907,Dog Product Content Site - 3rd Party Financing - 3.5 Years Old - Ad & Affiliate Revenue - 2.7X,False,no,877,sold
19908,3 Content Sites - Available as Package or Individually - 107% Revenue & 121% SDE YoY growth - 1.92X,False,no,710,sold
19940,Low Priced Custom Products Shopify Business | $2M+ TTM Revenue | $400k+ TTM SDE | 80% Digital Orders,False,no,418,sold
20127,Board Blazers - High Margin 9+ Year Old FBA Biz | Over 3k+ Reviews | Seller Financing,False,unknown,493,sold
20272,FBA Resale Biz | 1.28x Multiple | Great Growth | 100% Seller Rating TTM,False,unknown,432,lost
20294,7-Yr-Old Parenting Site | 136k Following | $160k SDE | 5-7 Hr Work Week,False,unknown,280,active
20395,Amazon Skincare Line | High Margins | Unique Formulations,False,no,433,sold
20398,Amazon FBA Biz w/ Differentiated Hero ASIN | Growth Potential w/ More Involved Owner | Great Reviews,False,no,290,sold
20427,Health and Wellness Amazon Business | Price Reduced | 2.6x Multiple | $250k TTM SDE,False,no,839,sold
20575,11-Year-Old Established FBA Supplement Business,False,unknown,375,active
20580,General Health and CBD Content Site | $1.3M TTM SDE | 500%+ Traffic and SDE Growth,False,no,324,lost
20588,75% Finaceable | $120k+ TTM SDE | Amazon FBA Kitchen Products | 41% TTM Revenue Growth,False,no,444,sold
20634,Amazon FBA Health and Fitness Brand,False,no,952,sold
20667,Motivated Seller | 1.4x Multiple | Content Site Portfolio | $1M+ TTM SDE | 194% SDE Growth,False,no,601,sold
20684,SBA Pre-Qualified | Education Vertical Subscription | SaaS and Subscription Business,True,yes,911,sold
20767,"Amazon FBA Outdoor Brand | Solid Margins | 2,400 Reviews | 3 SKUs | Product Expansion Potential",False,no,759,sold
20815,Quick Sale Opportunity | Below 1x Multiple | Esoteric Digital Products Business | Established Team,False,no,656,active
21009,Amazon SAAS Company | 2.1x Multiple | No Active Marketing | Value Add Buyer Desired,False,no,621,sold
21049,"SBA Pre Qualified: 4,000+ Course Membership Business With 83% Recurring Revenue 155% YoY SDE Growth",True,yes,455,sold
21397,8 Yr Old Home & Kitchen E-Comm Business | 51% Repeat Orders | 10% YoY Revenue Growth | Strong Brand,False,no,321,sold
21413,SBA Pre Qualified | Health & Wellness DTC | 80% Gross Profit | Exploding Niche,True,unknown,497,sold
21790,"14 Yr-Old Financial Investment Tracking SaaS Business, Consistent Growth, Strong Recurring Revenue",False,yes,278,sold
21809,4 Year Old Party Access. Biz | +46% YoY Rev | Brand Registered | Owner Financing,False,unknown,431,sold
21821,Turnaround Opportunity in the Pet Niche | Amazon FBA | 2.1x Multiple,False,no,286,sold
21876,"4-Year-Old Shopify, FBA, & Wholesale Pilates Towel Business with Patented Product",False,no,298,lost
21899,FBA Automotive Touchscreen Protectors and Accessories | Thousands of 5-Star Reviews,False,yes,333,lost
