id,name,asking_price,sde,multiple,sba_status
13061,7-Year-Old Shopify Watch Accessory Brand | 33K Emails | $89K SDE,250000.0,96000.0,2.6041666666666665,no
13990,SBA Prequalified | 7 Year-Old Blue-Collar Workwear Brand w/38% Net Margins | Growth Opportunities,4600000.0,1704289.0,2.6990727511589876,yes
17516,5 yr Old Pool Access. Biz | 95% Amazon FBA | YOY Revenue +102% | COGS Decrease,135000.0,46618.0,2.8958771290059633,no
17542,"7 Year Old Arts And Crafts Subscription Business With 44 Courses and 2,500+ Paid Subscribers",378750.0,133317.0,2.8409730191948515,no
18096,10-Year-Old Grilling Amazon Business | 19% Revenue Growth | Wholesale Relationship | Low Workload,748000.0,125000.0,5.984,no
19224,SBA Pre-Qualified 19-Year-Old Automotive Parts Brand | Diversified Revenue | 5% YoY SDE Growth,2031460.0,615594.0,3.2999996751105436,yes
19796,"Athletic Massage Guns: 92.1% AVG Growth, Celebrated Brand, High 27% Net Profits",2690000.0,1140488.0,2.3586394595997504,unknown
20684,SBA Pre-Qualified | Education Vertical Subscription | SaaS and Subscription Business,750000.0,211337.0,3.548834326218315,yes
21049,"SBA Pre Qualified: 4,000+ Course Membership Business With 83% Recurring Revenue 155% YoY SDE Growth",4000000.0,1070871.0,3.7352771715734203,yes
21397,8 Yr Old Home & Kitchen E-Comm Business | 51% Repeat Orders | 10% YoY Revenue Growth | Strong Brand,1740000.0,502520.0,3.4625487542784366,no
21809,4 Year Old Party Access. Biz | +46% YoY Rev | Brand Registered | Owner Financing,445000.0,167420.0,2.657985903715207,unknown
21930,19-Year-Old Ecommerce Surfing Accessories Business | Premium Domain Name | Low Workload,1000000.0,317198.0,3.152604997509442,no
22082,4-Year-Old Food Blog | 416 Posts | Low Workload | Large Social Following,275000.0,137958.0,1.9933602980617289,no
22437,"SBA Pre-Qual | 8 Yr Old Reputable SaaS Portfolio, High Barrier to Entry, Passive,  2.3M+ Users",4277745.0,1425915.0,3.0,yes
23097,13-Year-Old Specialty Hand Tools Business | 47% YOY SDE Growth | 40% Repeat Rev on Branded Site,11300000.0,2690571.0,4.199852001675481,yes
23462,"Quick Sale Opportunity | Amazon FBA Home Decor | 2,000+ Reviews | 1.3x Multiple",60000.0,48512.0,1.2368073878627968,no
23521,Garden Supply Biz | Amazing Growth | Partial SBA Pre-Approval | 99% 4.9 ⭐ Rating,1375000.0,415107.0,3.3123989718313593,unknown
23592,SBA Prequalified: Leading Personal Finance Content Business w/Diversified Earnings,3500000.0,617284.0,5.669999546400036,yes
23620,SBA Pre-Qualified Custom Artwork Shopify Business | 75% Digital Sales | Turnkey Operations,1400000.0,466915.0,2.998404420504803,yes
23675,SBA Pre-qual 22 year old Snow Sports Biz | $2.18m Rev | 1.2% Ad Spend | Huge Growth Opportunities,1850000.0,450000.0,4.111111111111111,yes
24040,Low Workload 4 Year Old Growing Food Blog With 170+ Posts,172500.0,52271.0,3.300109047081556,no
24362,"SBA Pre-Qualified | 11-Yr-Old Amazon FBA | Eyewear | 37,000 4.4-Star Reviews | Positive YOY Trends",3565000.0,1164553.0,3.0612604149403246,yes
24379,Content Site | Best-in-Class Tech Niche Authority | 7MM Visitors/Yr | YOY Growth Rev 491% & SDE 546%,700000.0,330156.0,2.1202098401967553,no
24695,4+ Year Old Travel Blog With 350% YoY Traffic Growth,567000.0,186174.0,3.0455380450546263,no
24844,4 Year Old Amazon FBA Business In Kids Outdoor Sporting Category w/30% Net Margins,2850000.0,798704.0,3.568280614595645,no
24946,Established 5 Year Old Lifestyle Business Focused On Wooden Baby Products,326000.0,128683.0,2.533357164505024,no
